"denom","timestamp","price","marketCap","dayVolume"
"uregen",1660165200000,0,0,0
"uregen",1660168800000,0,0,0
"uregen",1660172400000,0,0,0
"uregen",1660176000000,0,0,0
"uregen",1660179600000,0,0,0
"uregen",1660183200000,0,0,0
"uregen",1660186800000,0,0,0
"uregen",1660190400000,0,0,0
"uregen",1660194000000,0,0,0
"uregen",1660197600000,0,0,0
"uregen",1660201200000,0,0,0
"uregen",1660204800000,0,0,0
"uregen",1660208400000,0,0,0
"uregen",1660212000000,0,0,0
"uregen",1660215600000,0,0,0
"uregen",1660219200000,0,0,0
"uregen",1660222800000,0,0,0
"uregen",1660226400000,0,0,0
"uregen",1660230000000,0,0,0
"uregen",1660233600000,0,0,0
"uregen",1660237200000,0,0,0
"uregen",1660240800000,0,0,0
"uregen",1660244400000,0,0,0
"uregen",1660248000000,0,0,0
"uregen",1660251600000,0,0,0
"uregen",1660255200000,0,0,0
"uregen",1660258800000,0,0,0
"uregen",1660262400000,0,0,0
"uregen",1660266000000,0,0,0
"uregen",1660269600000,0,0,0
"uregen",1660273200000,0,0,0
"uregen",1660276800000,0,0,0
"uregen",1660280400000,0,0,0
"uregen",1660284000000,0,0,0
"uregen",1660287600000,0,0,0
"uregen",1660291200000,0,0,0
"uregen",1660294800000,0,0,0
"uregen",1660298400000,0,0,0
"uregen",1660302000000,0,0,0
"uregen",1660305600000,0,0,0
"uregen",1660309200000,0,0,0
"uregen",1660312800000,0,0,0
"uregen",1660316400000,0,0,0
"uregen",1660320000000,0,0,0
"uregen",1660323600000,0,0,0
"uregen",1660327200000,0,0,0
"uregen",1660330800000,0,0,0
"uregen",1660334400000,0,0,0
"uregen",1660338000000,0,0,0
"uregen",1660341600000,0,0,0
"uregen",1660345200000,0,0,0
"uregen",1660348800000,0,0,0
"uregen",1660352400000,0,0,0
"uregen",1660356000000,0,0,0
"uregen",1660359600000,0,0,0
"uregen",1660363200000,0,0,0
"uregen",1660366800000,0,0,0
"uregen",1660370400000,0,0,0
"uregen",1660374000000,0,0,0
"uregen",1660377600000,0,0,0
"uregen",1660381200000,0,0,0
"uregen",1660384800000,0,0,0
"uregen",1660388400000,0,0,0
"uregen",1660392000000,0,0,0
"uregen",1660395600000,0,0,0
"uregen",1660399200000,0,0,0
"uregen",1660402800000,0,0,0
"uregen",1660406400000,0,0,0
"uregen",1660410000000,0,0,0
"uregen",1660413600000,0,0,0
"uregen",1660417200000,0,0,0
"uregen",1660420800000,0,0,0
"uregen",1660424400000,0,0,0
"uregen",1660428000000,0,0,0
"uregen",1660431600000,0,0,0
"uregen",1660435200000,0,0,0
"uregen",1660438800000,0,0,0
"uregen",1660442400000,0,0,0
"uregen",1660446000000,0,0,0
"uregen",1660449600000,0,0,0
"uregen",1660453200000,0,0,0
"uregen",1660456800000,0,0,0
"uregen",1660460400000,0,0,0
"uregen",1660464000000,0,0,0
"uregen",1660467600000,0,0,0
"uregen",1660471200000,0,0,0
"uregen",1660474800000,0,0,0
"uregen",1660478400000,0,0,0
"uregen",1660482000000,0,0,0
"uregen",1660485600000,0,0,0
"uregen",1660489200000,0,0,0
"uregen",1660492800000,0,0,0
"uregen",1660496400000,0,0,0
"uregen",1660500000000,0,0,0
"uregen",1660503600000,0,0,0
"uregen",1660507200000,0,0,0
"uregen",1660510800000,0,0,0
"uregen",1660514400000,0,0,0
"uregen",1660518000000,0,0,0
"uregen",1660521600000,0,0,0
"uregen",1660525200000,0,0,0
"uregen",1660528800000,0,0,0
"uregen",1660532400000,0,0,0
"uregen",1660536000000,0,0,0
"uregen",1660539600000,0,0,0
"uregen",1660543200000,0,0,0
"uregen",1660546800000,0,0,0
"uregen",1660550400000,0,0,0
"uregen",1660554000000,0,0,0
"uregen",1660557600000,0,0,0
"uregen",1660561200000,0,0,0
"uregen",1660564800000,0,0,0
"uregen",1660568400000,0,0,0
"uregen",1660572000000,0,0,0
"uregen",1660575600000,0,0,0
"uregen",1660579200000,0,0,0
"uregen",1660582800000,0,0,0
"uregen",1660586400000,0,0,0
"uregen",1660590000000,0,0,0
"uregen",1660593600000,0,0,0
"uregen",1660597200000,0,0,0
"uregen",1660600800000,0,0,0
"uregen",1660604400000,0,0,0
"uregen",1660608000000,0,0,0
"uregen",1660611600000,0,0,0
"uregen",1660615200000,0,0,0
"uregen",1660618800000,0,0,0
"uregen",1660622400000,0,0,0
"uregen",1660626000000,0,0,0
"uregen",1660629600000,0,0,0
"uregen",1660633200000,0,0,0
"uregen",1660636800000,0,0,0
"uregen",1660640400000,0,0,0
"uregen",1660644000000,0,0,0
"uregen",1660647600000,0,0,0
"uregen",1660651200000,0,0,0
"uscrt",1659970800000,0,0,0
"uscrt",1659974400000,0,0,0
"uscrt",1659978000000,0,0,0
"uscrt",1659981600000,0,0,0
"uscrt",1659985200000,0,0,0
"uscrt",1659988800000,0,0,0
"uscrt",1659992400000,0,0,0
"uscrt",1659996000000,0,0,0
"uscrt",1659999600000,0,0,0
"uscrt",1660003200000,0,0,0
"uscrt",1660006800000,0,0,0
"uscrt",1660010400000,0,0,0
"uscrt",1660014000000,0,0,0
"uscrt",1660017600000,0,0,0
"uscrt",1660021200000,0,0,0
"uscrt",1660024800000,0,0,0
"uscrt",1660028400000,0,0,0
"uscrt",1660032000000,0,0,0
"uscrt",1660035600000,0,0,0
"uscrt",1660039200000,0,0,0
"uscrt",1660042800000,0,0,0
"uscrt",1660046400000,0,0,0
"uscrt",1660050000000,0,0,0
"uscrt",1660053600000,0,0,0
"uscrt",1660057200000,0,0,0
"uscrt",1660060800000,0,0,0
"uscrt",1660064400000,0,0,0
"uscrt",1660068000000,0,0,0
"uscrt",1660071600000,0,0,0
"uscrt",1660075200000,0,0,0
"uscrt",1660078800000,0,0,0
"uscrt",1660082400000,0,0,0
"uscrt",1660086000000,0,0,0
"uscrt",1660089600000,0,0,0
"uscrt",1660093200000,0,0,0
"uscrt",1660096800000,0,0,0
"uscrt",1660100400000,0,0,0
"uscrt",1660104000000,0,0,0
"uscrt",1660107600000,0,0,0
"uscrt",1660111200000,0,0,0
"uscrt",1660114800000,0,0,0
"uscrt",1660118400000,0,0,0
"uscrt",1660122000000,0,0,0
"uscrt",1660125600000,0,0,0
"uscrt",1660129200000,0,0,0
"uscrt",1660132800000,0,0,0
"uscrt",1660136400000,0,0,0
"uscrt",1660140000000,0,0,0
"uscrt",1660143600000,0,0,0
"uscrt",1660147200000,0,0,0
"uscrt",1660150800000,0,0,0
"uscrt",1660154400000,0,0,0
"uscrt",1660158000000,0,0,0
"uscrt",1660161600000,0,0,0
"uscrt",1660165200000,0,0,0
"uscrt",1660168800000,0,0,0
"uscrt",1660172400000,0,0,0
"uscrt",1660176000000,0,0,0
"uscrt",1660179600000,0,0,0
"uscrt",1660183200000,0,0,0
"uscrt",1660186800000,0,0,0
"uscrt",1660190400000,0,0,0
"uscrt",1660194000000,0,0,0
"uscrt",1660197600000,0,0,0
"uscrt",1660201200000,0,0,0
"uscrt",1660204800000,0,0,0
"uscrt",1660208400000,0,0,0
"uscrt",1660212000000,0,0,0
"uscrt",1660215600000,0,0,0
"uscrt",1660219200000,0,0,0
"uscrt",1660222800000,0,0,0
"uscrt",1660226400000,0,0,0
"uscrt",1660230000000,0,0,0
"uscrt",1660233600000,0,0,0
"uscrt",1660237200000,0,0,0
"uscrt",1660240800000,0,0,0
"uscrt",1660244400000,0,0,0
"uscrt",1660248000000,0,0,0
"uscrt",1660251600000,0,0,0
"uscrt",1660255200000,0,0,0
"uscrt",1660258800000,0,0,0
"uscrt",1660262400000,0,0,0
"uscrt",1660266000000,0,0,0
"uscrt",1660269600000,0,0,0
"uscrt",1660273200000,0,0,0
"uscrt",1660276800000,0,0,0
"uscrt",1660280400000,0,0,0
"uscrt",1660284000000,0,0,0
"uscrt",1660287600000,0,0,0
"uscrt",1660291200000,0,0,0
"uscrt",1660294800000,0,0,0
"uscrt",1660298400000,0,0,0
"uscrt",1660302000000,0,0,0
"uscrt",1660305600000,0,0,0
"uscrt",1660309200000,0,0,0
"uscrt",1660312800000,0,0,0
"uscrt",1660316400000,0,0,0
"uscrt",1660320000000,0,0,0
"uscrt",1660323600000,0,0,0
"uscrt",1660327200000,0,0,0
"uscrt",1660330800000,0,0,0
"uscrt",1660334400000,0,0,0
"uscrt",1660338000000,0,0,0
"uscrt",1660341600000,0,0,0
"uscrt",1660345200000,0,0,0
"uscrt",1660348800000,0,0,0
"uscrt",1660352400000,0,0,0
"uscrt",1660356000000,0,0,0
"uscrt",1660359600000,0,0,0
"uscrt",1660363200000,0,0,0
"uscrt",1660366800000,0,0,0
"uscrt",1660370400000,0,0,0
"uscrt",1660374000000,0,0,0
"uscrt",1660377600000,0,0,0
"uscrt",1660381200000,0,0,0
"uscrt",1660384800000,0,0,0
"uscrt",1660388400000,0,0,0
"uscrt",1660392000000,0,0,0
"uscrt",1660395600000,0,0,0
"uscrt",1660399200000,0,0,0
"uscrt",1660402800000,0,0,0
"uscrt",1660406400000,0,0,0
"uscrt",1660410000000,0,0,0
"uscrt",1660413600000,0,0,0
"uscrt",1660417200000,0,0,0
"uscrt",1660420800000,0,0,0
"uscrt",1660424400000,0,0,0
"uscrt",1660428000000,0,0,0
"uscrt",1660431600000,0,0,0
"uscrt",1660435200000,0,0,0
"uscrt",1660438800000,0,0,0
"uscrt",1660442400000,0,0,0
"uscrt",1660446000000,0,0,0
"uscrt",1660449600000,0,0,0
"uscrt",1660453200000,0,0,0
"uscrt",1660456800000,0,0,0
"uscrt",1660460400000,0,0,0
"uscrt",1660464000000,0,0,0
"uscrt",1660467600000,0,0,0
"uscrt",1660471200000,0,0,0
"uscrt",1660474800000,0,0,0
"uscrt",1660478400000,0,0,0
"uscrt",1660482000000,0,0,0
"uscrt",1660485600000,0,0,0
"uscrt",1660489200000,0,0,0
"uscrt",1660492800000,0,0,0
"uscrt",1660496400000,0,0,0
"uscrt",1660500000000,0,0,0
"uscrt",1660503600000,0,0,0
"uscrt",1660507200000,0,0,0
"uscrt",1660510800000,0,0,0
"uscrt",1660514400000,0,0,0
"uscrt",1660518000000,0,0,0
"uscrt",1660521600000,0,0,0
"uscrt",1660525200000,0,0,0
"uscrt",1660528800000,0,0,0
"uscrt",1660532400000,0,0,0
"uscrt",1660536000000,0,0,0
"uscrt",1660539600000,0,0,0
"uscrt",1660543200000,0,0,0
"uscrt",1660546800000,0,0,0
"uscrt",1660550400000,0,0,0
"uscrt",1660554000000,0,0,0
"uscrt",1660557600000,0,0,0
"uscrt",1660561200000,0,0,0
"uscrt",1660564800000,0,0,0
"uscrt",1660568400000,0,0,0
